,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,1.0
2020-09-23 14:01:00,0.5,0.0,0.5,-1.5,1.5,1.0,0.5,0.5,1.0,-0.5,-0.5,1.5
2020-09-23 14:02:00,0.3333333333333333,0.3333333333333333,0.0,-1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,1.0,-0.6666666666666666,-0.3333333333333333,1.3333333333333333
2020-09-23 14:03:00,0.5,0.5,0.0,-1.75,1.0,1.25,0.25,-0.25,1.0,-0.5,-0.25,1.25
2020-09-23 14:04:00,0.6,0.8,0.2,-2.0,0.6,1.2,0.4,-0.4,1.2,-0.4,-0.2,1.0
2020-09-23 14:05:00,0.6666666666666666,1.1666666666666667,0.5,-2.3333333333333335,0.16666666666666666,1.1666666666666667,0.3333333333333333,-0.6666666666666666,1.3333333333333333,-0.5,-0.3333333333333333,1.0
2020-09-23 14:06:00,0.8571428571428571,1.5714285714285714,0.8571428571428571,-2.5714285714285716,0.0,1.2857142857142858,0.42857142857142855,-0.8571428571428571,1.2857142857142858,-0.5714285714285714,-0.2857142857142857,1.1428571428571428
2020-09-23 14:07:00,1.0,2.0,1.0,-2.625,-0.125,1.25,0.5,-0.875,1.25,-0.625,-0.25,1.25
2020-09-23 14:08:00,1.0,2.2222222222222223,1.0,-2.5555555555555554,-0.1111111111111111,1.1111111111111112,0.4444444444444444,-0.7777777777777778,1.1111111111111112,-0.5555555555555556,-0.3333333333333333,1.2222222222222223
2020-09-23 14:09:00,0.9,2.5,1.1,-2.4,-0.2,1.0,0.5,-0.6,1.1,-0.4,-0.3,1.1
2020-09-23 14:10:00,0.8181818181818182,2.727272727272727,1.0909090909090908,-2.1818181818181817,-0.2727272727272727,0.8181818181818182,0.6363636363636364,-0.36363636363636365,1.1818181818181819,-0.2727272727272727,-0.2727272727272727,1.0
2020-09-23 14:11:00,0.75,2.8333333333333335,1.0,-2.0,-0.25,0.5833333333333334,0.75,-0.08333333333333333,1.25,-0.25,-0.16666666666666666,0.9166666666666666
2020-09-23 14:12:00,0.6923076923076923,2.923076923076923,0.8461538461538461,-1.7692307692307692,-0.15384615384615385,0.3076923076923077,0.7692307692307693,0.07692307692307693,1.3846153846153846,-0.23076923076923078,0.0,0.7692307692307693
2020-09-23 14:13:00,0.6428571428571429,3.0714285714285716,0.6428571428571429,-1.6428571428571428,0.0,0.14285714285714285,0.7142857142857143,0.21428571428571427,1.5,-0.2857142857142857,0.21428571428571427,0.5714285714285714
2020-09-23 14:14:00,0.5333333333333333,3.1333333333333333,0.4666666666666667,-1.4666666666666666,0.13333333333333333,0.0,0.6,0.26666666666666666,1.5333333333333334,-0.4,0.3333333333333333,0.4
2020-09-23 14:15:00,0.5,3.1875,0.375,-1.375,0.25,-0.125,0.4375,0.3125,1.5625,-0.5625,0.375,0.25
2020-09-23 14:16:00,0.4117647058823529,3.176470588235294,0.35294117647058826,-1.2941176470588236,0.35294117647058826,-0.29411764705882354,0.29411764705882354,0.4117647058823529,1.6470588235294117,-0.7647058823529411,0.4117647058823529,0.11764705882352941
2020-09-23 14:17:00,0.3333333333333333,3.2222222222222223,0.2777777777777778,-1.1666666666666667,0.5,-0.5,0.16666666666666666,0.5555555555555556,1.6666666666666667,-1.0,0.5,0.0
